CustomerID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment
50001,41.0,1.0,159.93,1,2,1,3,6,1,Loyal Customers
50002,46.0,1.0,120.9,1,5,1,1,7,1,Loyal Customers
50003,43.0,1.0,120.28,1,3,1,1,5,1,Loyal Customers
50004,43.0,1.0,134.07,1,3,1,1,5,1,Loyal Customers
50005,43.0,1.0,129.6,1,3,1,1,5,1,Loyal Customers
50006,39.0,6.0,139.19,1,2,5,1,8,3,Champions
50007,46.0,1.0,120.86,1,5,1,1,7,1,Loyal Customers
50008,46.0,2.0,122.93,1,5,2,1,8,1,Loyal Customers
50009,44.0,1.0,126.83,1,4,1,1,6,1,Loyal Customers
50010,45.0,1.0,122.93,1,5,1,1,7,1,Loyal Customers
50011,38.0,15.0,295.45,1,1,5,5,11,2,Champions
50012,46.0,1.0,153.81,1,5,1,3,9,1,Loyal Customers
50013,44.0,2.0,134.41,1,4,2,1,7,1,Loyal Customers
50014,46.0,1.0,133.88,1,5,1,1,7,1,Loyal Customers
50015,39.0,4.0,196.19,1,2,4,4,10,3,Champions
50016,44.0,1.0,120.73,1,4,1,1,6,1,Loyal Customers
50017,46.0,1.0,129.26,1,5,1,1,7,1,Loyal Customers
50018,43.0,1.0,157.44,1,3,1,3,7,1,Loyal Customers
50019,40.0,1.0,160.74,1,2,1,3,6,3,Champions
50020,43.0,4.0,149.63,1,3,4,2,9,1,Loyal Customers
50021,39.0,7.0,161.72,1,2,5,3,10,3,Champions
50022,40.0,15.0,203.12,1,2,5,4,11,2,Champions
50023,46.0,1.0,116.75,1,5,1,1,7,1,Loyal Customers
50024,44.0,2.0,145.59,1,4,2,2,8,1,Loyal Customers
50025,43.0,1.0,206.5,1,3,1,4,8,1,Loyal Customers
50026,42.0,1.0,142.0,1,2,1,2,5,1,Loyal Customers
50027,40.0,1.0,172.95,0,2,1,3,6,3,Champions
50028,41.0,4.0,123.06,0,2,4,1,7,1,Loyal Customers
50029,31.0,1.0,123.48,0,1,1,1,3,3,Champions
50030,39.0,3.0,189.98,0,2,4,4,10,3,Champions
50031,37.0,1.0,143.19,0,1,1,2,4,3,Champions
50032,46.0,1.0,161.32,0,5,1,3,9,1,Loyal Customers
50033,46.0,1.0,133.46,0,5,1,1,7,1,Loyal Customers
50034,35.0,2.0,208.55,0,1,2,4,7,3,Champions
50035,44.0,1.0,122.31,0,4,1,1,6,1,Loyal Customers
50036,44.0,2.0,123.23,0,4,2,1,7,1,Loyal Customers
50037,44.0,2.0,120.24,0,4,2,1,7,1,Loyal Customers
50038,44.0,1.0,127.13,0,4,1,1,6,1,Loyal Customers
50039,42.0,1.0,194.39,0,2,1,4,7,1,Loyal Customers
50040,45.0,1.0,125.66,0,5,1,1,7,1,Loyal Customers
50041,42.0,4.0,299.26,0,2,4,5,11,0,Champions
50042,38.0,1.0,124.51,0,1,1,1,3,3,Champions
50043,42.0,7.0,194.19,0,2,5,4,11,2,Champions
50044,45.0,1.0,186.86,0,5,1,4,10,1,Loyal Customers
50045,42.0,1.0,130.38,0,2,1,1,4,1,Loyal Customers
50046,45.0,1.0,130.58,0,5,1,1,7,1,Loyal Customers
50047,46.0,1.0,123.25,1,5,1,1,7,1,Loyal Customers
50048,44.0,7.0,120.88,0,4,5,1,10,1,Loyal Customers
50049,36.0,6.0,130.72,0,1,5,1,7,3,Champions
50050,43.0,1.0,150.06,0,3,1,2,6,1,Loyal Customers
50051,44.0,2.0,142.57,0,4,2,2,8,1,Loyal Customers
50052,44.0,1.0,125.0,0,4,1,1,6,1,Loyal Customers
50053,46.0,1.0,111.02,1,5,1,1,7,1,Loyal Customers
50054,39.0,15.0,204.53,0,2,5,4,11,2,Champions
50055,45.0,2.0,122.88,0,5,2,1,8,1,Loyal Customers
50056,44.0,1.0,139.29,0,4,1,1,6,1,Loyal Customers
50057,44.0,1.0,123.11,0,4,1,1,6,1,Loyal Customers
50058,44.0,1.0,131.4,1,4,1,1,6,1,Loyal Customers
50059,44.0,1.0,136.9,0,4,1,1,6,1,Loyal Customers
50060,43.0,1.0,144.5,0,3,1,2,6,1,Loyal Customers
50061,40.0,1.0,127.56,0,2,1,1,4,1,Loyal Customers
50062,37.0,9.0,290.33,0,1,5,5,11,2,Champions
50063,31.0,2.0,287.22,0,1,2,5,8,0,Champions
50064,37.0,1.0,195.47,0,1,1,4,6,3,Champions
50065,46.0,2.0,237.34,0,5,2,5,12,0,Champions
50066,37.0,11.0,299.99,0,1,5,5,11,2,Champions
50067,43.0,1.0,122.79,0,3,1,1,5,1,Loyal Customers
50068,45.0,1.0,159.16,1,5,1,3,9,1,Loyal Customers
50069,44.0,2.0,120.89,0,4,2,1,7,1,Loyal Customers
50070,38.0,11.0,267.92,0,1,5,5,11,2,Champions
50071,39.0,1.0,135.64,0,2,1,1,4,3,Champions
50072,44.0,1.0,144.25,0,4,1,2,7,1,Loyal Customers
50073,44.0,1.0,152.65,0,4,1,2,7,1,Loyal Customers
50074,46.0,1.0,165.53,0,5,1,3,9,1,Loyal Customers
50075,39.0,1.0,162.61,0,2,1,3,6,3,Champions
50076,46.0,2.0,142.98,0,5,2,2,9,1,Loyal Customers
50077,39.0,1.0,168.04,0,2,1,3,6,3,Champions
50078,46.0,2.0,138.15,0,5,2,1,8,1,Loyal Customers
50079,39.0,3.0,127.41,0,2,4,1,7,3,Champions
50080,46.0,1.0,166.73,1,5,1,3,9,1,Loyal Customers
50081,37.0,1.0,176.39,1,1,1,4,6,3,Champions
50082,44.0,2.0,123.28,0,4,2,1,7,1,Loyal Customers
50083,39.0,1.0,121.53,0,2,1,1,4,3,Champions
50084,44.0,1.0,148.76,0,4,1,2,7,1,Loyal Customers
50085,43.0,1.0,193.96,0,3,1,4,8,1,Loyal Customers
50086,38.0,9.0,204.0,1,1,5,4,10,2,Champions
50087,38.0,5.0,184.74,0,1,5,4,10,3,Champions
50088,39.0,1.0,199.81,0,2,1,4,7,3,Champions
50089,43.0,4.0,224.9,0,3,4,5,12,0,Champions
50090,42.0,1.0,126.57,1,2,1,1,4,1,Loyal Customers
50091,46.0,2.0,235.91000000000005,0,5,2,5,12,0,Champions
50092,45.0,1.0,166.96,1,5,1,3,9,1,Loyal Customers
50093,41.0,1.0,120.58,1,2,1,1,4,1,Loyal Customers
50094,38.0,12.0,188.65,0,1,5,4,10,2,Champions
50095,41.0,1.0,159.4,0,2,1,3,6,1,Loyal Customers
50096,39.0,3.0,159.14,0,2,4,3,9,3,Champions
50097,45.0,1.0,126.22,0,5,1,1,7,1,Loyal Customers
50098,43.0,1.0,221.85,0,3,1,5,9,0,Champions
50099,33.0,5.0,206.09,0,1,5,4,10,3,Champions
50100,42.0,1.0,143.45,0,2,1,2,5,1,Loyal Customers
50101,46.0,1.0,121.77,0,5,1,1,7,1,Loyal Customers
50102,38.0,5.0,0.0,0,1,5,1,7,3,Champions
50103,45.0,4.0,179.18,0,5,4,4,13,1,Loyal Customers
50104,38.0,1.0,187.89,0,1,1,4,6,3,Champions
50105,45.0,1.0,123.89,1,5,1,1,7,1,Loyal Customers
50106,44.0,2.0,132.12,0,4,2,1,7,1,Loyal Customers
50107,31.0,11.0,292.32,0,1,5,5,11,2,Champions
50108,44.0,2.0,122.67,0,4,2,1,7,1,Loyal Customers
50109,40.0,1.0,295.17,0,2,1,5,8,0,Champions
50110,42.0,1.0,124.36,1,2,1,1,4,1,Loyal Customers
50111,37.0,2.0,260.64,0,1,2,5,8,0,Champions
50112,39.0,1.0,127.07,1,2,1,1,4,3,Champions
50113,34.0,15.0,290.68,0,1,5,5,11,2,Champions
50114,44.0,1.0,139.31,0,4,1,1,6,1,Loyal Customers
50115,44.0,1.0,137.3,1,4,1,1,6,1,Loyal Customers
50116,44.0,1.0,122.32,0,4,1,1,6,1,Loyal Customers
50117,44.0,2.0,144.65,0,4,2,2,8,1,Loyal Customers
50118,46.0,1.0,130.72,0,5,1,1,7,1,Loyal Customers
50119,39.0,4.0,133.19,0,2,4,1,7,3,Champions
50120,39.0,1.0,292.02,0,2,1,5,8,0,Champions
50121,44.0,2.0,236.75,0,4,2,5,11,0,Champions
50122,44.0,1.0,129.11,0,4,1,1,6,1,Loyal Customers
